FlatSize,Speed,Repeat,RMS,Peak,CrestFactor,Kurtosis,Skewness,ShapeFactor,ImpulseFactor,SpectralEntropy,BandEnergy_0_200Hz,BandEnergy_200_1000Hz,BandEnergy_1000_3000Hz,FFT_PeakFreq,FFT_SpectralCentroid,FFT_SpectralRolloff,STFT_SpectralEntropy,CWT_Entropy,ImpactCount
0,5,31,55.702303326102786,214.36136165490473,3.8483392760250967,9642.295232669087,76.79862643853782,1.0002409154416705,3.8492664003814783,3.6912671035279514,0.0018663581543721902,0.0631852445604078,0.9349483972852201,2786.333333333333,1288.5020117191366,3260.6666666666665,0.7373461419366171,5.6635815621540395,0
0,5,32,55.7033240023768,214.147987949117,3.844438223111776,9344.952312167277,75.00914171433597,1.0002440381327395,3.8453764126371768,4.066950404691189,0.0035067237063712555,0.06971862300527107,0.9267746532883576,2786.333333333333,1292.8369550747939,3271.6666666666665,0.7374121419071102,5.665986458555665,0
0,5,33,55.70200858823768,214.21227443315973,3.8456831245829415,9331.359644788257,74.95516169698094,1.0002444692511925,3.8466232758567322,4.087931170423326,0.0037225435739254085,0.07054678018208183,0.9257306762439927,2786.333333333333,1293.0436244918476,3268.0,0.7374207597022874,5.667274859405242,0
0,5,34,55.702272645324456,213.96879741228986,3.8412938512348114,9378.441215930003,75.20364666617677,1.000243059046866,3.842227512457025,4.0066343870809495,0.003369275637038463,0.06730693136028491,0.9293237930026766,2786.333333333333,1291.9240795488465,3268.6666666666665,0.7373958768995177,5.664361609203995,0
0,5,35,55.703707515274395,214.20886950691724,3.845504708069557,9479.01061235239,75.82202039360244,1.000242497490848,3.846437233312307,3.88236284133779,0.002563742188172753,0.06649090255266359,0.9309453552591636,2786.333333333333,1289.1418208469404,3261.0,0.737376762597523,5.664818238435775,0
0,5,36,55.70306803178231,214.28491564413133,3.8469140608533,9696.64744636864,77.11918789273852,1.0002399894970968,3.847837279824139,3.582554540263298,0.0013553781958212806,0.061784340413351825,0.9368602813908269,2786.333333333333,1285.3380505530743,3253.6666666666665,0.7373208594613029,5.663628285099907,0
0,5,37,55.70350292469149,214.45529497532948,3.8499427094425807,9373.821122892412,75.15467984060143,1.000244561381556,3.8508842567505135,4.050537242877903,0.0035553704562629154,0.0697909040855635,0.9266537254581736,2786.333333333333,1293.8420570084002,3274.0,0.7374267925816708,5.667469714650423,0
0,5,38,55.70214511664349,214.35513181976935,3.848238364445344,9761.457188091663,77.50276699448182,1.0002394106931545,3.8491596738595995,3.5116141402271728,0.0011478804580769353,0.06119245934285107,0.9376596601990719,2786.333333333333,1284.579958144614,3251.0,0.7373152508724782,5.662789299625629,0
0,5,39,55.7023969690172,214.30616243803925,3.8473418398357375,9496.995400313188,75.92589046274004,1.0002425691382062,3.848275086230211,3.8895835492287008,0.0028577774620673155,0.06666182169296475,0.930480400844968,2786.333333333333,1290.7683162210187,3266.0,0.7373817920057809,5.664766087296655,0
0,5,40,55.701782251658834,214.23739719725475,3.8461497736165278,9310.020849663473,74.83771320273439,1.0002448433637892,3.847091477864737,4.093165095884064,0.0037429584837080526,0.07175730628946074,0.9244997352268313,2786.333333333333,1290.335889894263,3261.333333333333,0.7374450118248079,5.666735845359912,0
